day ,month,year,begin,end,type,,,
6,sept,2018,17:30,19:30,wind ensemble,,,
10,sept,2018,17:30,19:30,wind ensemble,,,
11,sept,2018,15:30,16:30,lesson,,,
12,sept,2018,12:00,13:00,solo,,,
13,sept,2018,12:00,13:00,sectional,,,
13,sept,2018,17:30,19:30,wind ensemble,,,
14,sept,2018,16:00,17:30,orchestra,,,
15,sept,2018,14:00,17:00,solo,,,
17,sept,2018,17:30,19:30,wind ensemble,,,
18,sept,2018,13:30,15:20,orchestra,,,
19,sept,2018,13:15,14:15,lesson,,,
20,sept,2018,17:30,19:30,wind ensemble,,,
21,sept,2018,16:00,17:50,orchestra,,,
24,sept,2018,17:30,19:30,wind ensemble,,,
25,sept,2018,13:30,15:20,orchestra,,,
27,sept,2018,17:30,19:30,wind ensemble,,,
28,sept,2018,13:00,14:00,lesson,,,
28,sept,2018,16:00,18:00,orchestra,,,
29,sept,2018,16:00,19:00,solo,,,
30,sept,2018,15:00,17:00,solo,,,
1,oct,2018,17:30,19:30,wind ensemble,,,
2,oct,2018,10:00,12:00,solo,,,
2,oct,2018,13:30,15:30,orchestra,,,
3,oct,2018,18:20,19:20,orchestra,,,
4,oct,2018,11:30,14:00,solo,,,
4,oct,2018,17:30,19:30,wind ensemble,,,
4,oct,2018,19:45,20:45,orchestra,,,
5,oct,2018,13:00,14:00,lesson,,,
5,oct,2018,19:30,21:00,concert,,,
10,oct,2018,11:30,14:00,solo,,,
11,oct,2018,14:00,16:00,solo,,,
11,oct,2018,17:30,19:30,wind ensemble,,,
12,oct,2018,13:00,14:00,lesson,,,
15,oct,2018,17:30,19:30,wind ensemble,,,
16,oct,2018,11:30,12:30,sectional,,,
16,oct,2018,16:00,18:00,solo,,,
17,oct,2018,17:30,19:30,wind ensemble,,,
18,oct,2018,19:30,21:00,concert,,,
